"三十八年","18","8"
"家家戶戶","11","3"
"慎終追遠","10","7"
"反共抗俄","9","1"
"中西合璧","8","2"
"各式各樣","7","6"
"五湖四海","6","1"
"保存下來","6","5"
"四十年代","6","3"
"妖魔鬼怪","6","2"
"註生娘娘","6","2"
"一般來說","5","4"
"二十三日","5","4"
"五零年代","5","3"
"八十一年","5","5"
"台灣海峽","5","3"
"親朋好友","5","2"
"不可或缺","4","3"
"五十七年","4","2"
"光宗耀祖","4","2"
"六零年代","4","3"
"十八世紀","4","2"
"四十三年","4","3"
"四十二年","4","4"
"因地制宜","4","2"
"固若金湯","4","3"
"大街小巷","4","2"
"自古以來","4","4"
"金門洋樓","4","2"
"長久以來","4","4"
"除此之外","4","4"
"七零年代","3","2"
"三十九年","3","3"
"中華民國","3","2"
"中華民族","3","1"
"二十六年","3","3"
"二十四日","3","3"
"五花八門","3","2"
"保生大帝","3","2"
"十七世紀","3","2"
"周而復始","3","2"
"善男信女","3","1"
"四十七年","3","3"
"大大小小","3","3"
"安身立命","3","2"
"息息相關","3","3"
"應運而生","3","3"
"獨一無二","3","2"
"異國情調","3","2"
"胼手胝足","3","3"
"金門縣志","3","3"
"順天應人","3","1"
"一三八七年","2","2"
"一九三一年","2","1"
"一九四九年","2","2"
"一千六百多","2","2"
"一般而言","2","2"
"七十九年","2","2"
"七十六年","2","2"
"三更半夜","2","2"
"三民主義","2","1"
"不勝枚舉","2","2"
"也就是說","2","2"
"二十一年","2","2"
"二十七年","2","2"
"二十三號","2","2"
"二十世紀","2","2"
"二百六十二","2","1"
"五十九年","2","1"
"五胡亂華","2","2"
"五顏六色","2","2"
"人才輩出","2","1"
"人文薈萃","2","1"
"休閒活動","2","2"
"保留下來","2","1"
"傳宗接代","2","1"
"六十四年","2","1"
"副大隊長","2","1"
"十九世紀","2","2"
"十五世紀","2","1"
"博狀元餅","2","2"
"同仇敵愾","2","1"
"告一段落","2","2"
"四十九年","2","2"
"四知世第","2","1"
"大年初二","2","2"
"密密麻麻","2","2"
"居高臨下","2","1"
"屹立不搖","2","2"
"平方公里","2","2"
"慢慢慢慢","2","2"
"整齊劃一","2","2"
"時時刻刻","2","2"
"時至今日","2","2"
"望子成龍","2","2"
"枕戈待旦","2","1"
"栩栩如生","2","1"
"歲時節令","2","2"
"洗心革面","2","1"
"流傳下來","2","2"
"滄海紀遺","2","2"
"澎湖群島","2","2"
"牧馬侯祠","2","2"
"物換星移","2","2"
"由來已久","2","2"
"由此可見","2","2"
"發揚光大","2","2"
"絕大部分","2","2"
"美輪美奐","2","2"
"與眾不同","2","1"
"葡萄牙人","2","1"
"街頭巷尾","2","2"
